Id,Restaurant_Name,Cuisines,Price_For_One,Location,Rating,Latitude,Longitude,Delivery_review_number,Urls
R240,Kataria's,North Indian,50,"BTM, Bangalore",3.5,12.9163419,77.6165165,4920.0,https://www.zomato.com/bangalore/katarias-btm-bangalore/order
R240,Kataria's,Biryani,50,"BTM, Bangalore",3.5,12.9163419,77.6165165,4920.0,https://www.zomato.com/bangalore/katarias-btm-bangalore/order
R240,Kataria's,Beverages,50,"BTM, Bangalore",3.5,12.9163419,77.6165165,4920.0,https://www.zomato.com/bangalore/katarias-btm-bangalore/order
R241,LeanCrust Pizza- ThinCrust Experts,Pizza,50,"Langford Town, Bangalore",4.0,12.961168,77.598239,41.0,https://www.zomato.com/bangalore/leancrust-pizza-thincrust-experts-langford-town-bangalore/order
R241,LeanCrust Pizza- ThinCrust Experts,Italian,50,"Langford Town, Bangalore",4.0,12.961168,77.598239,41.0,https://www.zomato.com/bangalore/leancrust-pizza-thincrust-experts-langford-town-bangalore/order
R241,LeanCrust Pizza- ThinCrust Experts,Fast Food,50,"Langford Town, Bangalore",4.0,12.961168,77.598239,41.0,https://www.zomato.com/bangalore/leancrust-pizza-thincrust-experts-langford-town-bangalore/order
R241,LeanCrust Pizza- ThinCrust Experts,Desserts,50,"Langford Town, Bangalore",4.0,12.961168,77.598239,41.0,https://www.zomato.com/bangalore/leancrust-pizza-thincrust-experts-langford-town-bangalore/order
R241,LeanCrust Pizza- ThinCrust Experts,Beverages,50,"Langford Town, Bangalore",4.0,12.961168,77.598239,41.0,https://www.zomato.com/bangalore/leancrust-pizza-thincrust-experts-langford-town-bangalore/order
R242,Beyond The Crust - BTC,Pizza,50,"BTM, Bangalore",4.0,12.92637,77.609474,1739.0,https://www.zomato.com/bangalore/beyond-the-crust-btc-btm-bangalore/order
R242,Beyond The Crust - BTC,Fast Food,50,"BTM, Bangalore",4.0,12.92637,77.609474,1739.0,https://www.zomato.com/bangalore/beyond-the-crust-btc-btm-bangalore/order
R242,Beyond The Crust - BTC,Desserts,50,"BTM, Bangalore",4.0,12.92637,77.609474,1739.0,https://www.zomato.com/bangalore/beyond-the-crust-btc-btm-bangalore/order
R243,Antarastriya,Pizza,50,"Malleshwaram, Bangalore",3.6,12.9982848139,77.5707741827,3525.0,https://www.zomato.com/antarastriya/order
R243,Antarastriya,Fast Food,50,"Malleshwaram, Bangalore",3.6,12.9982848139,77.5707741827,3525.0,https://www.zomato.com/antarastriya/order
R243,Antarastriya,Chinese,50,"Malleshwaram, Bangalore",3.6,12.9982848139,77.5707741827,3525.0,https://www.zomato.com/antarastriya/order
R243,Antarastriya,Beverages,50,"Malleshwaram, Bangalore",3.6,12.9982848139,77.5707741827,3525.0,https://www.zomato.com/antarastriya/order
R243,Antarastriya,Shake,50,"Malleshwaram, Bangalore",3.6,12.9982848139,77.5707741827,3525.0,https://www.zomato.com/antarastriya/order
R243,Antarastriya,Italian,50,"Malleshwaram, Bangalore",3.6,12.9982848139,77.5707741827,3525.0,https://www.zomato.com/antarastriya/order
R243,Antarastriya,Mexican,50,"Malleshwaram, Bangalore",3.6,12.9982848139,77.5707741827,3525.0,https://www.zomato.com/antarastriya/order
R243,Antarastriya,Juices,50,"Malleshwaram, Bangalore",3.6,12.9982848139,77.5707741827,3525.0,https://www.zomato.com/antarastriya/order
R244,Upahara Darshini,South Indian,50,"Jayanagar, Bangalore",4.2,12.932899306,77.584332414,8885.0,https://www.zomato.com/bangalore/upahara-darshini-jayanagar/order
